Models,salaryRegModel1Fit,salaryRegModel2Fit,salaryRegModel3Fit,salaryRegModel4Fit,salaryRegModel5Fit
Comments,Linear,non linear with MIS * STAT,non linear with MIS * GPA,non linear with Stat * GPA,non linear with all
Intercept,44.0072 0.0,44.0993  0.0,44.165 0.0,41.285 0.0,41.115 0.0
GPA,6.6227 0.0,6.71 0.0,6.5737 0.0,7.482 0.0,7.6467 0.0
MIS,6.6071 0.0,5.325 0.0,6.160  0.114 *,6.54 0.0,7.1292 0.141*
Statistics,6.73 0.0,5.535 0.0,6.735 0.0,14.5988 0.0,14.7168 0.004
MIS * Statistics,x,3.491 0.004,x,x,-1.7802 0.821 *
MIS * GPA,x,x,0.1381 0.907 *,x,-0.565 0.706 *
Statistics * GPA,x,x,x,-2.389 0.043,-2.76 0.067 *
MIS * Statistics * GPA,x,x,x,x,1.555  0.514 *
,,,,,
R2,0.795,0.81 - BEST,0.795,0.803,0.816
