,A,Prob
186,0,0.7396330235826573
423,0,0.07919312642629828
369,1,0.7128013946731264
283,1,0.8384282510344232
266,1,0.7892401993222179
1,0,0.05098996266358654
204,1,0.320299570478628
30,1,0.9117586127835027
71,1,0.04763318399658738
363,1,0.8669248025449933
121,1,0.9394016191777333
329,0,0.8099580792244511
162,0,0.013562657619260588
249,0,0.4929840695974144
335,1,0.9522862490166236
103,0,0.2554835533817883
309,0,0.8853967470087916
349,1,0.6606470689951244
119,0,0.25852400070722775
477,0,0.71282633457714
370,0,0.06596900974187189
439,0,0.7852641257466494
195,1,0.8273917740581381
20,0,0.4505458426356525
292,1,0.7193253941131655
70,0,0.014456836021510022
232,0,0.02961336509320097
21,0,0.05407148335142902
43,0,0.2985967732111945
68,0,0.12158263308442223
324,1,0.10943586632461999
88,1,0.9528833928114272
59,1,0.34107713891029884
301,1,0.16789968288578588
393,1,0.744155560717438
23,1,0.4825323423335676
139,1,0.9231726122981767
401,1,0.7870326119140529
199,1,0.6615822976538539
351,1,0.8421579158301471
140,0,0.02624048575178053
279,0,0.3558042400513964
161,0,0.12047654290769153
307,1,0.9116596830545984
311,1,0.9751029493574291
153,1,0.46692773596205644
316,1,0.9327294911174173
339,0,0.7342452647803585
394,1,0.18774443816449343
437,1,0.9431297020876539
117,1,0.9552594071088398
196,1,0.18636875541036801
268,0,0.3537055499807358
471,0,0.16905219500172952
61,1,0.9371907617418977
354,1,0.16331285994664846
312,0,0.04776143405989214
125,0,0.1881753927442458
256,1,0.2582884828278679
175,0,0.05893017287190464
80,0,0.3989118710640955
436,1,0.5135176470732357
476,1,0.6003092457109387
415,1,0.9914217345882936
465,1,0.9763550696030014
245,0,0.4216256691158545
158,0,0.29224958776070303
132,0,0.056841042885584815
404,0,0.09034721279076027
200,0,0.36895894072609703
294,1,0.8810145828083736
464,0,0.10588529633978223
280,1,0.9528833928114272
392,0,0.04890995302856519
224,1,0.5921203858743712
87,1,0.3516402577546145
234,1,0.8932031371824871
110,1,0.7365550241605704
155,1,0.8311354434211217
306,0,0.23828161201616502
440,0,0.08620044906108255
60,0,0.11441096648332888
109,1,0.10207583551989402
421,1,0.03755047682583931
240,1,0.9745535761913398
454,1,0.9701915066633734
100,0,0.9254659953877991
120,1,0.029835316747757634
326,1,0.5065723683564557
16,1,0.924548884740142
298,1,0.8216535699889821
253,0,0.212060702780286
429,0,0.3803704794801695
286,0,0.017345372581235082
411,1,0.7390889159751042
390,1,0.8415091735790501
222,1,0.8918051280485055
288,0,0.566319005678815
290,0,0.619529645324044
213,1,0.8918167601448388
32,1,0.8701123491141629
364,1,0.8826862365800783
386,1,0.8772569188704251
83,1,0.6124131252717153
452,0,0.054146856547687736
308,0,0.02805712663781595
375,0,0.3576641382933424
24,0,0.035283197541270794
142,0,0.027273219802335536
491,0,0.5911118371657155
275,0,0.025606924315534137
122,0,0.026924659048842507
281,0,0.06286383349377267
136,1,0.7219869037773995
263,1,0.9402326917929548
344,1,0.5158795673285639
487,0,0.24118366035070748
333,0,0.6051214164850265
277,1,0.12188450686475531
62,0,0.06605229331697293
472,1,0.4548557268518539
276,0,0.3834914045415348
5,0,0.11812420267103077
179,0,0.3316210511044325
96,0,0.04339852107447948
185,1,0.9643001352651969
145,0,0.16677037983665746
435,0,0.26106639955942346
67,1,0.5267164430812243
304,0,0.01392100504477666
291,1,0.9748793928251389
218,0,0.40559440145826775
285,1,0.9061889613344701
78,1,0.18155182373242387
65,0,0.8539056965620073
457,0,0.7640333454163016
2,1,0.9061786039672693
237,0,0.13609125347942563
395,1,0.954632476479701
101,1,0.735298281409257
430,1,0.5362561840780464
146,0,0.32032609445169596
19,1,0.1120396269056645
27,1,0.9257450510796245
293,0,0.8770982578634926
156,1,0.8505760799479835
54,0,0.18001196920918242
322,0,0.37694210463709804
314,0,0.04047241009917221
296,0,0.10207583551989402
